个体ID,rho_initial,rho_final,rho_change,rho_change_pct,tau_initial,tau_final,tau_change,tau_change_pct,reward_initial,reward_final,reward_change,reward_change_pct
15,0.02831313741227708,0.03462705981156355,0.006313922399286468,22.30032760886697,0.9422021508216858,0.858153760433197,-0.08404839038848877,-8.920420136505838,2.368482351303101,2.503962755203247,0.13548040390014604,5.720135673614241
16,0.02696150663899673,0.04080540886220103,0.013843902223204297,51.34691621120564,0.9657517075538636,0.9312267899513244,-0.034524917602539285,-3.57492690227666,2.369502782821656,2.499988317489624,0.13048553466796786,5.5068740840465615
17,0.03094274199778582,0.03314467203504684,0.002201930037261022,7.116143867982308,0.9897717237472534,0.8433583974838257,-0.14641332626342773,-14.792635791726822,2.372079849243164,2.498995065689087,0.12691521644592285,5.350377074634163
18,0.02727592777343637,0.03185948304135483,0.004583555267918461,16.80439729123465,0.9829716682434082,0.863475501537323,-0.1194961667060852,-12.156623691873792,2.372879266738892,2.499453783035278,0.12657451629638583,5.334216454693053
19,0.02576308889599412,0.0323311472340194,0.0065680583380252795,25.494063869983158,0.9615150690078736,0.9301643371582032,-0.03135073184967041,-3.2605554359142017,2.360798358917236,2.500589370727539,0.13979101181030318,5.921344840074244
20,0.03439694630676466,0.03504212161159139,0.0006451753048267311,1.8756761111082936,0.9727095365524292,0.8743727207183838,-0.09833681583404541,-10.10957661447221,2.376613140106201,2.497322559356689,0.12070941925048784,5.079052085233099
21,0.02932267109854039,0.03451751094150265,0.005194839842962259,17.716120831914406,0.9896421432495116,0.871096670627594,-0.11854547262191761,-11.9786200931855,2.377686023712158,2.503265619277954,0.1255795955657959,5.2815886670240415
22,0.03020258461406377,0.04169107894649582,0.011488494332432049,38.038116536167095,0.974275767803192,0.8376126289367676,-0.13666313886642445,-14.027151591235205,2.375604867935181,2.497685670852661,0.12208080291748002,5.138935542912477
23,0.02572575544135963,0.03380265284442343,0.0080768974030638,31.396152472469158,0.962067186832428,0.8825065493583679,-0.07956063747406006,-8.269758969330471,2.376397609710693,2.501224756240845,0.12482714653015226,5.252788759762679
24,0.02836685182642445,0.03516333369009372,0.006796481863669272,23.959239133255437,0.9666080474853516,0.8446415066719055,-0.12196654081344604,-12.61799352185658,2.371388435363769,2.498849868774414,0.12746143341064498,5.374970692690103
25,0.0303327677691296,0.03765254544558536,0.0073197776764557625,24.13158512987819,0.9453571438789368,0.8531454205513,-0.09221172332763672,-9.754167927401355,2.373998641967773,2.494233131408691,0.12023448944091797,5.064640194623589
26,0.02654701926773309,0.0346760583159712,0.008129039048238113,30.621287332693715,0.9472641944885254,0.8988433480262756,-0.048420846462249756,-5.111651717015922,2.365802764892578,2.509592294692993,0.14378952980041504,6.077832519861137
27,0.03112709405503701,0.03666682095275546,0.00553972689771845,17.797121979724306,0.95617413520813,0.886281430721283,-0.06989270448684703,-7.309620906199635,2.372105598449707,2.50122332572937,0.12911772727966309,5.443169450974196
28,0.02819808393024358,0.03618471990785053,0.007986635977606949,28.323328625321807,0.988422393798828,0.9110100269317628,-0.07741236686706521,-7.83191147354972,2.378443717956543,2.506042003631592,0.12759828567504883,5.364780537446386
29,0.02912491875062017,0.03751161506794189,0.008386696317321723,28.795604166769195,0.9581629037857056,0.9099324345588684,-0.04823046922683716,-5.033639795099391,2.366365909576416,2.498378992080688,0.13201308250427202,5.578726517738866
30,0.02819488016331181,0.03077636548881027,0.0025814853254984595,9.155865570436369,0.96732360124588,0.8760402202606201,-0.0912833809852599,-9.436695317646546,2.371604442596436,2.498112916946411,0.12650847434997514,5.33429909633132
31,0.03555683455352681,0.03742354824090471,0.0018667136873778967,5.249943395742299,0.9818392395973206,0.8618088364601135,-0.12003040313720703,-12.22505663823691,2.376107692718506,2.496825218200684,0.12071752548217818,5.080473660857736
32,0.0299595083257862,0.03458514906607697,0.0046256407402907734,15.439641699024401,0.9817772507667542,0.9064068794250488,-0.07537037134170532,-7.6769319397900215,2.376813650131226,2.499285936355591,0.12247228622436479,5.152792951084027
33,0.0268268672131323,0.03556153575600199,0.008734668542869688,32.55940573856454,0.9565770030021667,0.8859293460845947,-0.07064765691757202,-7.385464703400569,2.375063896179199,2.506100654602051,0.13103675842285156,5.517188764211874
34,0.03246763473630956,0.0338400255934598,0.0013723908571502408,4.22695052564286,0.9985492825508118,0.8384581208229065,-0.16009116172790527,-16.032374618401366,2.372096061706543,2.503083229064941,0.130987167358398,5.5220009624805275
35,0.02633746905008693,0.03997714618937598,0.013639677139289048,51.78810884732309,0.9875604510307312,0.9035410284996032,-0.08401942253112804,-8.507775138568554,2.371186971664429,2.49921989440918,0.12803292274475098,5.399528770811339
